s_pps_p4;s_util_p4;s_prio_p4;s_bw_limit_p4;action;reward;next_delay_p4;next_prio_p4;done
0.0;0.0;0;2500000;0;999.334;20.013.334.756.247.800;1;FALSE
0.0;0.0;0;2500000;1;99.927;20.005.714.547.049.900;2;FALSE
0.0;0.0;0;2500000;2;999.541;20.013.334.756.247.800;1;FALSE
0.0;0.0;0;2500000;3;999.593;20.010.000.800.368.000;2;FALSE
0.990868454661558;0.9688369419380031;0;2500000;0;999.325;20.013.421.582.031.800;1;FALSE
0.990868454661558;0.9688369419380031;0;2500000;1;999.261;2.000.573.043.358.620;2;FALSE
0.990868454661558;0.9688369419380031;0;2500000;2;999.538;20.013.421.582.031.800;1;FALSE
0.990868454661558;0.9688369419380031;0;2500000;3;999.591;20.010.049.557.891.300;2;FALSE
0.9784802043422732;0.9553186138944779;0;2500000;0;999.325;2.001.342.036.276.100;1;FALSE
0.9784802043422732;0.9553186138944779;0;2500000;1;999.261;20.005.730.211.311.400;2;FALSE
0.9784802043422732;0.9553186138944779;0;2500000;2;999.538;2.001.342.036.276.100;1;FALSE
0.9784802043422732;0.9553186138944779;0;2500000;3;999.591;2.001.004.887.429.990;2;FALSE
0.9795232013622817;0.9578553573728043;0;2500000;0;999.325;20.013.420.591.543;1;FALSE
0.9795232013622817;0.9578553573728043;0;2500000;1;999.261;2.000.573.025.302.040;2;FALSE
0.9795232013622817;0.9578553573728043;0;2500000;2;999.538;20.013.420.591.543;1;FALSE
0.9795232013622817;0.9578553573728043;0;2500000;3;999.591;20.010.049.002.570.200;2;FALSE
0.9954661558109834;0.9792459299150723;0;2500000;0;999.325;20.013.422.521.010.100;1;FALSE
0.9954661558109834;0.9792459299150723;0;2500000;1;999.261;200.057.306.047.476;2;FALSE
0.9954661558109834;0.9792459299150723;0;2500000;2;999.538;20.013.422.521.010.100;1;FALSE
0.9954661558109834;0.9792459299150723;0;2500000;3;99.959;20.010.050.084.313.700;2;FALSE
0.9905491698595146;0.9822699556461295;0;2500000;0;999.325;20.013.422.793.827.300;1;FALSE
0.9905491698595146;0.9822699556461295;0;2500000;1;999.261;20.005.730.654.475.400;2;FALSE
0.9905491698595146;0.9822699556461295;0;2500000;2;999.538;20.013.422.793.827.300;1;FALSE
0.9905491698595146;0.9822699556461295;0;2500000;3;99.959;20.010.050.237.260.600;2;FALSE
0.9889101745423584;0.9700220762825188;0;2500000;0;999.325;20.013.421.688.934.300;1;FALSE
0.9889101745423584;0.9700220762825188;0;2500000;1;999.261;20.005.730.453.073.600;2;FALSE
0.9889101745423584;0.9700220762825188;0;2500000;2;999.538;20.013.421.688.934.300;1;FALSE
0.9889101745423584;0.9700220762825188;0;2500000;3;999.591;20.010.049.617.825.300;2;FALSE
0.988633461047254;0.972992421083441;0;2500000;0;999.325;20.013.421.956.875.300;1;FALSE
0.988633461047254;0.972992421083441;0;2500000;1;999.261;20.005.730.501.916.100;2;FALSE
0.988633461047254;0.972992421083441;0;2500000;2;999.538;20.013.421.956.875.300;1;FALSE
0.988633461047254;0.972992421083441;0;2500000;3;999.591;2.001.004.976.804.320;2;FALSE
0.9879736057896977;0.975422761289531;0;2500000;0;999.325;2.001.342.217.611.290;1;FALSE
0.9879736057896977;0.975422761289531;0;2500000;1;999.261;2.000.573.054.187.970;2;FALSE
0.9879736057896977;0.975422761289531;0;2500000;2;999.538;2.001.342.217.611.290;1;FALSE
