cur_bw_cam;cur_bw_hr;cur_bw_dht;cur_delay_cam;cur_delay_hr;cur_delay_dht;action;reward;next_bw_cam;next_bw_hr;next_bw_dht;next_delay_cam;next_delay_hr;next_delay_dht;next_prio_cam;next_prio_hr;next_prio_dht;next_pkt_cam;next_pkt_hr;next_pkt_dht;done
0.036352;0.000512;0.290192;5.0;2.0;5.0;0;29.619;0.036352;0.000512;0.290192;23.228.081.679.930.700;31.300.267.980.030.000;21.865.936.490.382.600;2;1;0;4;0;35;FALSE
0.036352;0.000512;0.290192;5.0;2.0;5.0;1;29.717;0.036352;0.000512;0.290192;11.410.842.064.784.900;23.061.562.218.934.400;29.497.712.894.754.400;1;2;0;4;0;35;FALSE
0.036352;0.000512;0.290192;5.0;2.0;5.0;2;29.654;0.036352;0.000512;0.290192;14.531.331.561.043.800;3.001.907.713.699.370;16.964.222.373.630.600;0;1;2;4;0;35;FALSE
0.036352;0.000512;0.290192;5.0;2.0;5.0;3;29.769;0.036352;0.000512;0.290192;1.862.211.308.190.360;17.850.656.562.802.700;1.480.218.923.105.850;1;1;1;4;0;35;FALSE
520.304;598.896;4.927.584;5.0;2.0;5.0;0;29.667;520.304;598.896;4.927.584;14.725.375.214.857.500;25.738.926.370.919.800;4.625.340.102.019.630;2;1;0;635;731;601;FALSE
520.304;598.896;4.927.584;5.0;2.0;5.0;1;29.821;520.304;598.896;4.927.584;289.073.636.735.038;0.801156957677456;414.888.265.111.583;1;2;0;635;731;601;FALSE
520.304;598.896;4.927.584;5.0;2.0;5.0;2;29.772;520.304;598.896;4.927.584;18.786.576.439.508.100;16.973.141.126.663.800;20.447.483.106.820.600;0;1;2;635;731;601;FALSE
520.304;598.896;4.927.584;5.0;2.0;5.0;3;29.629;520.304;598.896;4.927.584;2.081.185.800.125.510;30.007.871.197.942.200;2.972.235.569.662.370;1;1;1;635;731;601;FALSE
5.129.088;5.753.728;5.404.032;5.0;2.0;5.0;0;29.761;5.129.088;5.753.728;5.404.032;12.002.464.410.823.700;17.950.499.387.187.000;35.650.958.297.463.400;2;1;0;626;702;659;FALSE
5.129.088;5.753.728;5.404.032;5.0;2.0;5.0;1;29.845;5.129.088;5.753.728;5.404.032;26.909.915.933.550.800;0.576397403881024;4.390.771.482.307.900;1;2;0;626;702;659;FALSE
5.129.088;5.753.728;5.404.032;5.0;2.0;5.0;2;29.646;5.129.088;5.753.728;5.404.032;2.273.285.936.716.610;284.032.838.771.575;24.998.424.019.211.000;0;1;2;626;702;659;FALSE
5.129.088;5.753.728;5.404.032;5.0;2.0;5.0;3;29.675;5.129.088;5.753.728;5.404.032;1.437.959.350.480.040;270.344.663.944.731;2.606.832.388.453.870;1;1;1;626;702;659;FALSE
5.340.416;5.735.744;53.312;5.0;2.0;5.0;0;29.747;5.340.416;5.735.744;53.312;2.199.439.344.132.540;15.867.282.856.915.300;5.018.745.545.510.600;2;1;0;651;700;650;FALSE
5.340.416;5.735.744;53.312;5.0;2.0;5.0;1;29.816;5.340.416;5.735.744;53.312;16.212.626.304.735.300;10.787.921.508.837.200;4.395.346.562.091.670;1;2;0;651;700;650;FALSE
5.340.416;5.735.744;53.312;5.0;2.0;5.0;2;29.695;5.340.416;5.735.744;53.312;19.281.544.566.279.000;252.737.078.629.388;13.623.517.672.232.200;0;1;2;651;700;650;FALSE
5.340.416;5.735.744;53.312;5.0;2.0;5.0;3;29.711;5.340.416;5.735.744;53.312;23.853.427.094.670.600;22.935.200.258.172.900;1.235.283.021.083.780;1;1;1;651;700;650;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;0;29.673;5.020.024;5.193.968;4.930.472;0.6092660688148284;28.155.759.745.631.400;33.543.953.240.528.700;2;1;0;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;1;29.781;5.020.024;5.193.968;4.930.472;2.481.899.125.030.300;12.095.588.791.873.700;4.860.582.269.307.280;1;2;0;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;2;29.687;5.020.024;5.193.968;4.930.472;31.228.069.514.605.600;23.738.220.114.958.200;12.754.598.599.314.300;0;1;2;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;3;29.779;5.020.024;5.193.968;4.930.472;2.570.742.180.534.970;14.061.677.466.114.900;28.525.565.745.248.800;1;1;1;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;0;29.783;5.020.024;5.193.968;4.930.472;13.386.685.419.014.400;15.647.977.276.031.800;33.699.649.734.385.500;2;1;0;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;1;29.743;5.020.024;5.193.968;4.930.472;22.188.383.912.076.300;16.558.736.221.888.600;4.671.267.320.241.780;1;2;0;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;2;29.648;5.020.024;5.193.968;4.930.472;2.969.891.380.585.970;27.654.356.813.979.200;16.542.143.055.712.300;0;1;2;612;634;601;FALSE
5.020.024;5.193.968;4.930.472;5.0;2.0;5.0;3;29.804;5.020.024;5.193.968;4.930.472;22.983.048.681.823.200;1.321.689.306.432.830;17.538.656.235.400.300;1;1;1;612;634;601;FALSE
5.335.488;6.066.624;4.960.224;5.0;2.0;5.0;0;29.715;5.335.488;6.066.624;4.960.224;17.695.724.305.642.700;20.040.725.744.549.800;4.872.446.288.622.050;2;1;0;651;740;605;FALSE
