state,action_continuous,action_discrete,reward,next_state
"[0.15482700701970845, 0.8860233743574201, -1.2123959197043357, 0.07354516609972005, -0.40153385256622964, 0.49076550174953926, -0.14029093250047894, 0.20502690392698636, -0.936153921549522, -0.905245035550562]",1.5298826271587107,1,0.053426323409266535,"[-0.8455248390266425, -0.17522862787118412, -1.1269940399004532, -0.8202939637255071, -0.745749679234109, 0.5645654122872414, -0.07370245420959043, -0.6001256800109281, -1.303615134322376, 1.1652929669884167]"
"[-0.8455248390266425, -0.17522862787118412, -1.1269940399004532, -0.8202939637255071, -0.745749679234109, 0.5645654122872414, -0.07370245420959043, -0.6001256800109281, -1.303615134322376, 1.1652929669884167]",-0.47507394055675634,2,-0.03443872173174291,"[-0.2274474981482568, -0.485977939217041, 0.3990008768017069, 0.8046058750660984, 3.0347950713295218, -1.599191301878036, 0.821634220594946, 0.41785212841565805, 4.23434087256808, -0.4613291544067829]"
"[-0.2274474981482568, -0.485977939217041, 0.3990008768017069, 0.8046058750660984, 3.0347950713295218, -1.599191301878036, 0.821634220594946, 0.41785212841565805, 4.23434087256808, -0.4613291544067829]",1.0844229678653738,1,-0.01520920582508517,"[0.5402046226792009, 1.1823251272511817, -1.1751015434583076, 0.5016785008056303, 2.228176163551126, -1.5316380365620268, -0.4950880361431007, -0.7638170494027388, -0.8455040834623153, 1.4877178206560906]"
"[0.5402046226792009, 1.1823251272511817, -1.1751015434583076, 0.5016785008056303, 2.228176163551126, -1.5316380365620268, -0.4950880361431007, -0.7638170494027388, -0.8455040834623153, 1.4877178206560906]",-0.7152189556808369,2,0.03307864115313318,"[0.18060486221303426, 1.2807096047548754, -1.3726800590795951, -0.4328854927685153, -0.688482665940938, 1.0875262918013697, 0.1283333446480842, 0.8301110232124009, -1.5460524550615717, -1.1917495036510146]"
"[0.18060486221303426, 1.2807096047548754, -1.3726800590795951, -0.4328854927685153, -0.688482665940938, 1.0875262918013697, 0.1283333446480842, 0.8301110232124009, -1.5460524550615717, -1.1917495036510146]",0.6058437643834277,1,0.08511217058265816,"[-0.29827797002570977, -0.30988015518617074, -0.25785831358719863, -0.1510932046839621, -0.29458401736550266, -0.13102586400975866, -0.06863413020856726, -0.03860874338522155, 0.23566155506749178, -0.5453795358784025]"
"[-0.29827797002570977, -0.30988015518617074, -0.25785831358719863, -0.1510932046839621, -0.29458401736550266, -0.13102586400975866, -0.06863413020856726, -0.03860874338522155, 0.23566155506749178, -0.5453795358784025]",1.2290719560613892,1,0.0967309805869601,"[-0.17532770146872032, -0.6070538329482127, 1.1120865227203283, 0.016087707704891333, -0.3518922140581608, 0.24227570546492913, 0.14603454249897418, -0.5988728852205695, -1.1469878147733346, 1.5603429096370771]"
"[-0.17532770146872032, -0.6070538329482127, 1.1120865227203283, 0.016087707704891333, -0.3518922140581608, 0.24227570546492913, 0.14603454249897418, -0.5988728852205695, -1.1469878147733346, 1.5603429096370771]",-0.7404022044597822,2,0.08054691501422279,"[-1.104764929035163, -0.7350449731427343, -0.20560816595557468, 3.5848237175712088, 3.7023483973193776, -1.1002748985784545, -0.13536496152882121, 0.7083518361713116, -0.13754279289808213, -1.2672416937823985]"
"[-1.104764929035163, -0.7350449731427343, -0.20560816595557468, 3.5848237175712088, 3.7023483973193776, -1.1002748985784545, -0.13536496152882121, 0.7083518361713116, -0.13754279289808213, -1.2672416937823985]",1.210646121975489,1,0.10123937526385057,"[0.3289137756327468, 0.12526977969435873, -0.4369245236040142, 0.12956585137969484, -0.500699505793293, 1.008013361520329, 0.11681951980052017, -0.19632421772169956, -0.37924766452054887, -0.06700715420947516]"
"[0.3289137756327468, 0.12526977969435873, -0.4369245236040142, 0.12956585137969484, -0.500699505793293, 1.008013361520329, 0.11681951980052017, -0.19632421772169956, -0.37924766452054887, -0.06700715420947516]",-0.6243535535602355,2,0.09468691513899719,"[-0.658231507673639, -0.36675133155172357, -0.5926236422646619, 0.013966239269340314, -0.5611181476223166, 1.1440309510484348, -1.369993435479445, -0.45087784174782036, -0.14297025753753081, -1.4353619538155644]"
"[-0.658231507673639, -0.36675133155172357, -0.5926236422646619, 0.013966239269340314, -0.5611181476223166, 1.1440309510484348, -1.369993435479445, -0.45087784174782036, -0.14297025753753081, -1.4353619538155644]",3.527939679808529,1,0.19314837397509818,"[-1.1550603194482445, -0.5771505742369448, -0.8814040273028169, 1.9325254525506508, 0.18998827793196305, 0.7029327037431123, -1.1549218773237593, -0.9436882112404891, 0.38062074328867124, 1.4691192333474694]"
