timestamp,priority_tag_p1,policing_rate_kbps_p1,policing_burst_kbps_p1,rx_mbps_p1,tx_mbps_p1,rx_pps_p1,tx_pps_p1,avg_rx_pkt_bytes_p1,util_rx_pct_p1,drop_p1,delay_ms_p1,last_payload_bytes_p1,priority_tag_p2,policing_rate_kbps_p2,policing_burst_kbps_p2,rx_mbps_p2,tx_mbps_p2,rx_pps_p2,tx_pps_p2,avg_rx_pkt_bytes_p2,util_rx_pct_p2,drop_p2,delay_ms_p2,last_payload_bytes_p2,priority_tag_p4,policing_rate_kbps_p4,policing_burst_kbps_p4,rx_mbps_p4,tx_mbps_p4,rx_pps_p4,tx_pps_p4,avg_rx_pkt_bytes_p4,util_rx_pct_p4,drop_p4,delay_ms_p4,last_payload_bytes_p4
1708215400,3.898775,8.942702,8234.365,16251.863,66.11383,0.44461167,0.55061656,9.238548,138.52655,0.48032588,1000000.5,100000.36,4.7771673,5.78258,9718.982,11104.214,65.577705,0.40715912,0.43720797,573.23987,2295.4426,0.5586864,1000000.5,100000.484,3.9204385,0.7371853,9093.008,1659.6925,65.37584,0.50775707,0.4420761,8.426643,131.84755,1.482196,1000000.5,100000.51
1708215401,3.6332078,9.185643,8908.329,16570.215,66.06037,0.5220639,0.5229194,9.323654,138.83649,0.45558304,1000000.44,100000.47,4.34502,5.556913,8813.343,13054.845,65.992226,0.40669024,0.41380632,509.46298,2400.0908,0.5443863,1000000.5,100000.53,3.9402874,0.71225744,8655.78,1388.3481,65.49929,0.50773364,0.46268952,8.253326,131.90318,1.474848,1000000.5,100000.48
1708215402,4.253336,8.507515,8377.526,19729.844,65.916595,0.4615622,0.5411962,9.500611,138.51411,0.42764437,1000000.56,100000.38,4.820329,5.2031126,9220.906,10943.419,65.928314,0.3540364,0.46960565,572.609,2335.9011,0.4680575,1000000.5,100000.46,4.359883,0.728813,9356.676,1566.3848,65.24831,0.373743,0.48574913,8.50301,132.0719,1.487198,1000000.5,100000.586
1708215403,4.314006,8.313812,8183.8457,16295.804,65.94848,0.47450995,0.5259619,9.257551,138.65108,0.44565436,1000000.44,100000.375,3.7827973,5.4318495,9608.805,10533.304,66.054726,0.45450997,0.40452006,475.66373,2323.6787,0.49984512,1000000.5,100000.48,4.385682,0.6435596,8350.599,1637.7919,65.14269,0.43872362,0.48914203,8.343133,132.03046,1.4526148,1000000.44,100000.48
1708215404,4.22207,9.7743435,8549.349,16189.47,65.86592,0.43105808,0.54550576,9.017656,138.61137,0.50359243,1000000.5,100000.43,3.8946457,5.525414,9479.614,10049.731,66.18893,0.38530463,0.45220473,623.06305,2296.2136,0.48328966,1000000.44,100000.43,4.391181,0.7118353,8730.503,1565.9425,65.38873,0.4432497,0.5551,8.454147,131.88147,1.4935259,1000000.44,100000.516
1708215405,4.2417207,9.042159,8598.912,18194.236,65.82013,0.41568318,0.47592244,9.584736,138.62975,0.48100147,1000000.5,100000.484,4.3263745,4.9999638,8784.28,12938.269,66.097435,0.43645796,0.48142874,622.05054,2309.651,0.50391257,1000000.5,100000.516,4.173956,0.6762153,8917.801,1462.3011,65.277405,0.42547044,0.49135095,8.361352,132.12769,1.5551873,1000000.44,100000.516
1708215406,4.156614,8.2329035,7340.1177,16030.65,65.992714,0.4511807,0.5327457,9.475677,138.5736,0.5039787,1000000.5,100000.414,4.502842,5.540986,8846.876,10660.228,66.14992,0.39863923,0.48829314,495.86594,2303.7651,0.5245527,1000000.5,100000.46,4.5155516,0.72059846,8376.127,1695.3956,65.52926,0.43433332,0.48123008,8.637259,131.79297,1.5225021,1000000.44,100000.46
1708215407,4.0141997,9.740151,8002.0273,15722.836,65.81617,0.41955748,0.5225737,9.053859,138.50908,0.50907314,1000000.5,100000.41,4.568928,5.3521814,8382.421,11257.203,66.06146,0.38660353,0.47128406,562.7352,2258.9475,0.52068377,1000000.44,100000.48,4.257557,0.75879073,8930.7705,1641.8871,65.52201,0.4053892,0.50434643,8.387799,131.91269,1.535476,1000000.56,100000.484
1708215408,4.4044294,8.630875,7998.276,16072.961,65.972115,0.45511588,0.55362713,9.13597,138.7766,0.4791314,1000000.56,100000.55,4.071367,5.213479,9591.977,12599.655,65.567635,0.40178755,0.46709245,613.8655,2526.4194,0.5361299,1000000.5,100000.49,4.5076365,0.80354303,7880.5645,1535.8396,65.36638,0.47017995,0.5812995,8.721472,132.28275,1.5429986,1000000.5,100000.53
1708215409,3.550921,9.341273,7776.7866,18006.443,65.97862,0.4614778,0.48088986,9.048765,138.6661,0.48176676,1000000.5,100000.4,4.7204394,5.49843,9150.053,13199.971,65.6482,0.43228552,0.4671524,550.5739,2382.0388,0.5056745,1000000.5,100000.516,3.935627,0.69947064,8501.409,1745.589,65.29821,0.481121,0.42687643,8.186768,132.18674,1.4750044,1000000.44,100000.5
