timestamp,rx_mbps_p1,tx_mbps_p1,rx_pps_p1,tx_pps_p1,avg_rx_pkt_bytes_p1,util_rx_pct_p1,drop_p1,delay_ms_p1,last_payload_bytes_p1,priority_tag_p1,policing_rate_kbps_p1,policing_burst_kbps_p1,rx_mbps_p2,tx_mbps_p2,rx_pps_p2,tx_pps_p2,avg_rx_pkt_bytes_p2,util_rx_pct_p2,drop_p2,delay_ms_p2,last_payload_bytes_p2,priority_tag_p2,policing_rate_kbps_p2,policing_burst_kbps_p2,rx_mbps_p4,tx_mbps_p4,rx_pps_p4,tx_pps_p4,avg_rx_pkt_bytes_p4,util_rx_pct_p4,drop_p4,delay_ms_p4,last_payload_bytes_p4,priority_tag_p4,policing_rate_kbps_p4,policing_burst_kbps_p4
0,3.37427,6.4199963,421.78375,13706.171,65.55283,0.337427,0.0,6.485852,139.8464,0,1000000.0,100000.0,7.5655637,7.2965837,945.69543,14639.583,65.72713,0.75655633,0.0,7.9212623,3319.7239,0,1000000.0,100000.01,4.396692,1.1665252,549.5865,2487.0894,65.40984,0.4396692,0.0,6.5663776,134.64345,2,1000000.0,100000.0
1,3.1711059,7.084697,396.38824,13798.707,64.5744,0.3171106,0.0,6.731782,139.88824,0,1000000.0,100000.0,3.2369578,6.991326,404.61972,14157.759,64.709206,0.32369578,0.0,9.614058,3011.5017,0,1000000.0,100000.01,4.388361,1.1584741,548.5451,2351.231,64.553024,0.43883607,0.0,6.561969,134.76328,1,1000000.0,100000.0
2,6.3786864,7.1592207,797.3358,13492.44,64.41671,0.63786864,0.0,6.468182,139.99834,0,1000000.0,100000.0,3.1895094,7.0863104,398.68866,14471.161,64.5215,0.31895092,0.0,8.333511,1373.988,0,1000000.0,100000.0,4.009811,1.2274835,501.22638,2507.7498,64.38192,0.40098113,0.0,6.463394,132.91771,2,1000000.0,100000.01
3,3.3087497,7.1775556,413.59372,14675.429,64.88824,0.33087498,0.0,6.56356,139.93463,0,1000000.0,100000.0,3.3992748,6.971228,424.90936,14043.36,64.985794,0.3399275,0.0,17.749607,1804.1895,0,1000000.0,100000.01,4.127302,1.1424935,515.9128,2351.769,64.77956,0.41273022,0.0,6.6166553,134.32373,2,1000000.0,100000.01
4,2.9442496,6.757975,368.0312,13432.882,64.69033,0.29442495,0.0,6.47779,139.95972,0,1000000.0,100000.0,6.5638375,6.6376753,820.4797,13605.007,64.73476,0.6563837,0.0,7.583647,3306.5103,0,1000000.0,100000.0,4.3536587,1.1739581,544.20734,2467.7207,64.60366,0.4353659,0.0,6.5029325,134.6661,2,1000000.0,100000.0
5,8.008608,14.590873,1001.076,30161.879,64.32919,0.80086076,0.0,6.489913,139.98611,0,1000000.0,100000.0,8.013702,5.7556543,1001.71277,11841.5,64.302055,0.8013702,0.0,7.4765673,1952.4012,0,1000000.0,100000.0,8.594225,1.2199317,1074.2781,2533.9421,64.29988,0.85942245,0.0,6.4711175,134.39111,1,1000000.0,100000.0
6,3.4021816,6.8592277,425.2727,14589.848,65.10039,0.34021816,0.0,6.632935,139.94093,0,1000000.0,100000.0,3.4518802,6.8747725,431.48502,13727.903,65.24177,0.34518802,0.0,19.524645,2814.6248,0,1000000.0,100000.016,4.3111267,1.1470968,538.89087,2423.7827,65.05908,0.4311127,0.0,6.6758823,134.00256,1,1000000.0,100000.01
7,4.935345,6.4998264,616.91815,13596.475,64.77921,0.4935345,0.0,6.6572704,139.9089,0,1000000.0,100000.0,3.2904043,6.998778,411.30054,14868.374,64.71,0.32904044,0.0,9.057747,3045.9744,0,1000000.0,100000.01,3.9889038,1.2033439,498.61298,2419.4707,64.672,0.3988904,0.0,6.56359,134.33482,2,1000000.0,100000.0
8,4.2794514,7.6028943,534.9314,15783.626,64.461235,0.4279451,0.0,6.510702,139.9692,0,1000000.0,100000.0,5.8199825,6.9111214,727.4978,14035.592,64.552086,0.5819982,0.0,9.369977,1643.9038,0,1000000.0,100000.01,4.4697886,1.1420234,558.7236,2430.809,64.43362,0.44697887,0.0,6.5835485,134.18434,2,1000000.0,100000.0
9,3.4603186,6.8493376,432.53983,14480.309,65.205765,0.34603184,0.0,6.597837,139.92981,0,1000000.0,100000.0,3.2870843,6.9957495,410.88553,13990.345,65.51367,0.3287084,0.0,10.553427,3235.9333,0,1000000.0,100000.01,3.992564,1.169441,499.0705,2479.2683,65.21069,0.3992564,0.0,6.5494747,134.57196,1,1000000.0,100000.0
10,3.404459,7.1258593,425.55737,14380.954,65.729,0.3404459,0.0,6.5316296,139.93657,0,1000000.0,100000.0,3.4248774,6.7829328,428.10968,13767.299,65.90781,0.34248775,0.0,13.367273,2932.227,0,1000000.0,100000.01,4.020986,1.1823775,502.62326,2387.579,65.52543,0.40209863,0.0,6.491707,134.25513,2,1000000.0,100000.01
11,3.2713466,6.5955195,408.91833,13441.013,64.77951,0.32713467,0.0,6.59567,139.9093,0,1000000.0,100000.0,3.0329633,6.974209,379.12042,14190.23,64.90263,0.30329636,0.0,8.407109,3253.638,0,1000000.0,100000.01,4.4321947,1.1772377,554.02435,2391.7595,64.71384,0.44321948,0.0,6.5117226,134.0694,1,1000000.0,100000.0
12,5.293362,7.492466,661.6703,14773.348,64.81287,0.5293362,0.0,6.4690533,139.99709,0,1000000.0,100000.0,4.5799856,6.8398347,572.4982,13989.967,65.22469,0.4579986,0.0,8.739216,3125.2163,0,1000000.0,100000.0,4.053064,1.202166,506.633,2462.267,64.85543,0.40530643,0.0,6.4741483,134.83623,1,1000000.0,100000.0
13,7.3698883,8.709165,921.236,17546.969,64.520706,0.7369888,0.0,6.6751075,139.62834,0,1000000.0,100000.0,6.8004003,6.546777,850.05005,13798.953,64.585014,0.68004006,0.0,8.368971,3253.3257,0,1000000.0,100000.01,6.0464272,1.1845744,755.8034,2420.939,64.57219,0.60464275,0.0,6.805634,133.16687,2,1000000.0,100000.0
14,3.62288,8.770305,452.86,17227.484,64.17239,0.362288,0.0,6.699761,138.46062,0,1000000.0,100000.0,5.783503,6.799418,722.93787,13974.178,64.235886,0.5783503,0.0,7.6125326,1698.6473,0,1000000.0,100000.01,4.7192326,1.1960279,589.90405,2531.8564,64.178116,0.47192323,0.0,6.7341247,133.85838,2,1000000.0,100000.0
15,6.9480824,6.7161627,868.5103,13790.957,64.74517,0.69480824,0.0,6.8193784,139.44894,0,1000000.0,100000.0,2.9812415,6.6935444,372.65518,14468.495,64.73505,0.29812416,0.0,8.325323,3264.1,0,1000000.0,100000.01,4.143768,1.1836492,517.971,2442.9082,64.58513,0.4143768,0.0,6.688449,133.00829,1,1000000.0,100000.0
16,3.9078696,7.299799,488.4837,14812.481,64.57197,0.39078695,0.0,6.6194105,139.71234,0,1000000.0,100000.0,3.3011773,6.914291,412.64716,13870.724,64.89745,0.3301177,0.0,11.4917,1833.3347,0,1000000.0,100000.01,4.4340925,1.1822323,554.26154,2453.583,64.61549,0.44340923,0.0,6.627002,134.53796,1,1000000.0,100000.0
17,3.2158406,6.791702,401.98007,14270.571,64.372314,0.32158405,0.0,6.686304,139.26468,0,1000000.0,100000.0,3.1199946,6.755571,389.99933,13883.279,64.45427,0.31199947,0.0,8.268466,3211.943,0,1000000.0,100000.0,4.1750236,1.1731745,521.8779,2514.2378,64.41756,0.41750237,0.0,6.5981336,134.38931,1,1000000.0,100000.0
18,3.4935806,6.0178356,436.69757,13424.361,64.97512,0.34935805,0.0,6.4931254,139.26144,0,1000000.0,100000.0,7.8200626,7.2052984,977.5078,14576.986,65.06754,0.78200626,0.0,8.264874,3106.2944,0,1000000.0,100000.01,4.786826,1.1825899,598.3533,2509.4485,64.932556,0.4786826,0.0,6.9129357,134.83235,2,1000000.0,100000.0
19,3.9706128,6.7747874,496.3266,13232.59,65.52317,0.3970613,0.0,6.5047746,139.97072,0,1000000.0,100000.0,3.3243644,7.2079105,415.54556,14622.207,65.54043,0.33243644,0.0,19.99643,1489.5535,0,1000000.0,100000.0,4.0120473,1.1884842,501.50592,2465.4968,65.43055,0.40120474,0.0,6.619008,133.84824,2,1000000.0,100000.01
20,3.3697448,7.002972,421.2181,14247.356,65.03198,0.3369745,0.0,6.5922894,139.86984,0,1000000.0,100000.0,3.3305364,6.638773,416.31705,13955.662,64.97807,0.33305365,0.0,13.170737,2501.1746,0,1000000.0,100000.016,4.4238772,1.1499316,552.9847,2372.5166,64.87614,0.44238773,0.0,6.596237,133.64487,2,1000000.0,100000.01
21,7.2356277,10.006616,904.4534,21072.299,64.48738,0.7235628,0.0,6.5158606,139.8617,0,1000000.0,100000.0,6.437131,7.16222,804.64136,14650.461,64.564354,0.64371306,0.0,8.530078,1706.9316,0,1000000.0,100000.01,6.713029,1.1797366,839.1286,2488.2827,64.56088,0.6713029,0.0,6.6938915,133.55368,1,1000000.0,100000.0
