state,action_continuous,action_discrete,reward,next_state,raw_delay_p1,raw_delay_p2,raw_delay_p4
"[0.15482700701970845, 0.8860233743574201, 1.2918744197032912, -1.2123959197043357, 0.07354516609972005, -0.40153385256622964, -0.6121777659084077, 0.49076550174953926, -0.14029093250047894, 0.20502690392698636, -0.936153921549522, -0.905245035550562]",1.5298826271587107,1,-14.185310742852595,"[-0.8455248390266425, -0.17522862787118412, 0.7113464108407623, -1.1269940399004532, -0.8202939637255071, -0.745749679234109, -1.7279599326129915, 0.5645654122872414, -0.07370245420959043, -0.6001256800109281, -1.303615134322376, 1.1652929669884167]",6.2640038,47.933296,6.512119
"[-0.8455248390266425, -0.17522862787118412, 0.7113464108407623, -1.1269940399004532, -0.8202939637255071, -0.745749679234109, -1.7279599326129915, 0.5645654122872414, -0.07370245420959043, -0.6001256800109281, -1.303615134322376, 1.1652929669884167]",-0.47507394055675634,2,-18.22632160426082,"[-0.2274474981482568, -0.485977939217041, -1.9205996323450831, 0.3990008768017069, 0.8046058750660984, 3.0347950713295218, 2.8199219815595145, -1.599191301878036, 0.821634220594946, 0.41785212841565805, 4.23434087256808, -0.4613291544067829]",5.5496397,110.219666,8.171731
"[-0.2274474981482568, -0.485977939217041, -1.9205996323450831, 0.3990008768017069, 0.8046058750660984, 3.0347950713295218, 2.8199219815595145, -1.599191301878036, 0.821634220594946, 0.41785212841565805, 4.23434087256808, -0.4613291544067829]",1.0844229678653738,1,-18.344685188983775,"[0.5402046226792009, 1.1823251272511817, -0.5963680229352448, -1.1751015434583076, 0.5016785008056303, 2.228176163551126, -0.1797507737708577, -1.5316380365620268, -0.4950880361431007, -0.7638170494027388, -0.8455040834623153, 1.4877178206560906]",5.9090633,69.137085,6.6494055
"[0.5402046226792009, 1.1823251272511817, -0.5963680229352448, -1.1751015434583076, 0.5016785008056303, 2.228176163551126, -0.1797507737708577, -1.5316380365620268, -0.4950880361431007, -0.7638170494027388, -0.8455040834623153, 1.4877178206560906]",-0.7152189556808369,2,-18.920688978468355,"[0.18060486221303426, 1.2807096047548754, -0.16542893836553552, -1.3726800590795951, -0.4328854927685153, -0.688482665940938, -0.5426536918447433, 1.0875262918013697, 0.1283333446480842, 0.8301110232124009, -1.5460524550615717, -1.1917495036510146]",6.026029,64.16688,6.4394655
"[0.18060486221303426, 1.2807096047548754, -0.16542893836553552, -1.3726800590795951, -0.4328854927685153, -0.688482665940938, -0.5426536918447433, 1.0875262918013697, 0.1283333446480842, 0.8301110232124009, -1.5460524550615717, -1.1917495036510146]",0.6058437643834277,1,-13.80312969649072,"[-0.29827797002570977, -0.30988015518617074, -0.5002102146546831, -0.25785831358719863, -0.1510932046839621, -0.29458401736550266, -0.37276956001836026, -0.13102586400975866, -0.06863413020856726, -0.03860874338522155, 0.23566155506749178, -0.5453795358784025]",5.9351625,66.49356,6.9734087
"[-0.29827797002570977, -0.30988015518617074, -0.5002102146546831, -0.25785831358719863, -0.1510932046839621, -0.29458401736550266, -0.37276956001836026, -0.13102586400975866, -0.06863413020856726, -0.03860874338522155, 0.23566155506749178, -0.5453795358784025]",1.2290719560613892,1,-13.648055080925523,"[-0.17532770146872032, -0.6070538329482127, -0.3378761216905993, 1.1120865227203283, 0.016087707704891333, -0.3518922140581608, 0.5055791829877007, 0.24227570546492913, 0.14603454249897418, -0.5988728852205695, -1.1469878147733346, 1.5603429096370771]",5.9792233,78.52315,6.559057
"[-0.17532770146872032, -0.6070538329482127, -0.3378761216905993, 1.1120865227203283, 0.016087707704891333, -0.3518922140581608, 0.5055791829877007, 0.24227570546492913, 0.14603454249897418, -0.5988728852205695, -1.1469878147733346, 1.5603429096370771]",-0.7404022044597822,2,-16.362963258771615,"[-1.104764929035163, -0.7350449731427343, 1.0680913932313876, -0.20560816595557468, 3.5848237175712088, 3.7023483973193776, 0.8835144970835083, -1.1002748985784545, -0.13536496152882121, 0.7083518361713116, -0.13754279289808213, -1.2672416937823985]",6.3608317,83.699234,6.861567
"[-1.104764929035163, -0.7350449731427343, 1.0680913932313876, -0.20560816595557468, 3.5848237175712088, 3.7023483973193776, 0.8835144970835083, -1.1002748985784545, -0.13536496152882121, 0.7083518361713116, -0.13754279289808213, -1.2672416937823985]",1.210646121975489,1,-13.603562572121582,"[0.3289137756327468, 0.12526977969435873, 0.30106015126559377, -0.4369245236040142, 0.12956585137969484, -0.500699505793293, -0.6878250812700689, 1.008013361520329, 0.11681951980052017, -0.19632421772169956, -0.37924766452054887, -0.06700715420947516]",6.1526437,62.178658,6.789133
"[0.3289137756327468, 0.12526977969435873, 0.30106015126559377, -0.4369245236040142, 0.12956585137969484, -0.500699505793293, -0.6878250812700689, 1.008013361520329, 0.11681951980052017, -0.19632421772169956, -0.37924766452054887, -0.06700715420947516]",-0.6243535535602355,2,-13.686476310124794,"[-0.658231507673639, -0.36675133155172357, 1.6010294072366325, -0.5926236422646619, 0.013966239269340314, -0.5611181476223166, -1.382089675226294, 1.1440309510484348, -1.369993435479445, -0.45087784174782036, -0.14297025753753081, -1.4353619538155644]",6.505482,52.670227,6.8599405
"[-0.658231507673639, -0.36675133155172357, 1.6010294072366325, -0.5926236422646619, 0.013966239269340314, -0.5611181476223166, -1.382089675226294, 1.1440309510484348, -1.369993435479445, -0.45087784174782036, -0.14297025753753081, -1.4353619538155644]",3.527939679808529,1,-12.450733072387042,"[-1.1550603194482445, -0.5771505742369448, -0.8762190333458738, -0.8814040273028169, 1.9325254525506508, 0.18998827793196305, -0.2586650298851401, 0.7029327037431123, -1.1549218773237593, -0.9436882112404891, 0.38062074328867124, 1.4691192333474694]",5.833106,68.0563,7.01685
"[-1.1550603194482445, -0.5771505742369448, -0.8762190333458738, -0.8814040273028169, 1.9325254525506508, 0.18998827793196305, -0.2586650298851401, 0.7029327037431123, -1.1549218773237593, -0.9436882112404891, 0.38062074328867124, 1.4691192333474694]",-0.18048045994627623,2,-14.0787745029959,"[0.05087195825396998, -0.038571359207150824, 0.47552486830105606, -0.4255928201539417, -0.5305801284483882, -0.26711127738126456, -0.9714399759428871, -0.6453052663634969, 0.24450666957451936, -0.4255649217066018, 1.8929529821871969, 0.7963312304886003]",6.199997,58.294357,7.470065
"[0.05087195825396998, -0.038571359207150824, 0.47552486830105606, -0.4255928201539417, -0.5305801284483882, -0.26711127738126456, -0.9714399759428871, -0.6453052663634969, 0.24450666957451936, -0.4255649217066018, 1.8929529821871969, 0.7963312304886003]",-0.18742823610131953,2,-13.80560559469651,"[0.07407922509553701, -0.2531233020854177, 0.5375227655102125, 0.048478816708951177, -0.13633134125212493, -0.28976365463805165, -0.26232822675524203, -0.12527045631208752, 0.0846457472004515, -0.32244574375124707, 0.782506730857974, 0.22374304794228062]",6.2168245,68.00613,7.137287
"[0.07407922509553701, -0.2531233020854177, 0.5375227655102125, 0.048478816708951177, -0.13633134125212493, -0.28976365463805165, -0.26232822675524203, -0.12527045631208752, 0.0846457472004515, -0.32244574375124707, 0.782506730857974, 0.22374304794228062]",-0.5512593368204063,2,-14.698556562314481,"[0.10475487277559375, 0.11168979928096229, 0.4699818086456627, -0.6023741612744408, -1.4912740379299643, -0.9645920996898794, 0.6492192874865794, 0.16210799953366514, -0.13235188127241027, 0.5056510857393034, 1.4769619266615723, -1.1446947067872486]",6.1984925,80.4904,7.345401
"[0.10475487277559375, 0.11168979928096229, 0.4699818086456627, -0.6023741612744408, -1.4912740379299643, -0.9645920996898794, 0.6492192874865794, 0.16210799953366514, -0.13235188127241027, 0.5056510857393034, 1.4769619266615723, -1.1446947067872486]",1.2205078117896189,1,-13.67175705734691,"[0.05754565183952558, 0.1500761283026192, -0.37071815144679543, -0.6898046642285706, 0.01454739103704681, -0.5293658679183364, -1.0644097512418351, 0.9679172594275688, -0.19463723881297634, -0.4354446406883069, -0.573098081550725, 0.21488626679648076]",5.9703093,57.021072,6.73104
"[0.05754565183952558, 0.1500761283026192, -0.37071815144679543, -0.6898046642285706, 0.01454739103704681, -0.5293658679183364, -1.0644097512418351, 0.9679172594275688, -0.19463723881297634, -0.4354446406883069, -0.573098081550725, 0.21488626679648076]",-0.5129247037101723,2,-13.735696764896147,"[0.1896768919397495, -0.43999678385660723, 1.092889078386992, 0.8418541300925891, -0.08008507631752067, -0.18788462716904056, 0.3056293829292657, -0.2935208256405815, -1.4565898412779315, -0.7490983002992697, -0.5181950972579071, -1.0538473185910315]",6.3675623,75.7847,6.7474933
"[0.1896768919397495, -0.43999678385660723, 1.092889078386992, 0.8418541300925891, -0.08008507631752067, -0.18788462716904056, 0.3056293829292657, -0.2935208256405815, -1.4565898412779315, -0.7490983002992697, -0.5181950972579071, -1.0538473185910315]",0.5555095184941963,1,-13.423810156961213,"[0.17372460991811173, 0.29405680988744703, -3.5123353585017703, -0.7643699482426736, 0.3949473770411426, 0.32943278253319913, 0.34932160320203554, -0.6554876589689717, 0.11438566584786872, -0.034454679148207996, -0.5733917285770213, -0.38457258716108456]",5.11761,76.383095,6.730952
