P1,P2,P4
6.5275197,58.340813,7.0398326
6.136305,82.972305,7.530909
6.4700894,45.451683,6.608264
5.5998483,70.22864,6.689739
5.998873,99.436134,6.9027367
5.7272205,76.21928,7.34312
5.992619,67.37405,7.549616
5.725607,85.94498,7.255375
6.292,69.35038,6.58045
5.9885244,64.78521,7.035955
6.0176597,59.559166,6.961305
6.476435,62.51413,7.1529245
6.258935,78.23786,7.016022
6.021446,69.94671,6.547589
6.067329,80.84352,6.8684063
6.199126,65.388664,6.621845
6.034656,74.993484,7.060113
5.915409,57.531303,6.7644467
6.167051,85.41379,7.1948357
5.9161816,56.932274,6.3845906
5.8477097,83.16215,6.7849765
6.158584,74.34643,6.884008
6.0266314,119.54011,7.3614674
6.455871,80.405685,6.759088
6.2467194,57.372864,6.5121155
5.962588,76.866165,7.1889787
5.869461,69.716675,6.5009375
6.091628,73.38948,6.5638685
5.7024326,117.50416,7.0934486
5.7884917,63.58892,6.8094397
5.7391324,82.78117,6.3460097
6.235144,52.06253,6.5919886
5.031072,102.50968,6.926399
5.750695,101.445305,6.9272714
5.9428687,55.85154,6.619533
6.0360622,63.97986,7.0562243
6.1116476,59.08802,6.7930484
6.39207,69.33396,6.947344
6.2300835,61.269775,6.874183
5.866527,63.27932,6.8475327
6.0726843,57.59246,6.3802457
6.273692,79.038826,6.4107227
6.0163603,59.73738,6.7239213
5.6723404,57.17846,6.9809484
5.929201,65.927025,6.649143
5.773192,56.240685,6.5497613
6.542538,62.009354,6.983275
6.112356,76.02502,6.830982
6.2725887,87.31035,6.564284
6.0787973,81.64308,6.6983047
5.9197235,51.77043,6.908815
6.335143,84.61396,7.0458727
5.8815784,75.91473,7.0661035
6.2309237,88.15183,6.91626
6.2139297,64.741394,6.8206787
5.6222916,63.136482,6.7184124
6.283373,85.79019,6.901745
6.6787615,51.42511,6.628959
6.2391534,67.7808,6.4363427
5.38549,98.47003,7.182956
5.863962,77.37041,6.920434
6.010325,64.44471,6.9381385
6.107011,83.48679,6.494059
6.4464536,66.500626,6.6175804
5.788867,62.343704,6.839898
6.228258,75.9809,6.9321356
6.0775414,65.36967,7.0428543
5.8174314,70.63396,7.098276
5.8792,58.79502,6.200418
5.371804,86.230415,7.0882635
6.121901,76.35988,7.0431037
6.0397425,75.0131,6.872262
5.9511666,76.68576,7.1248546
6.5905943,64.59752,6.4746785
5.841858,62.774826,6.5944595
6.4626193,50.445763,6.424817
6.304917,81.33362,7.130952
6.537733,61.532494,6.6019044
6.0836134,63.424805,6.9898143
6.468427,72.25638,7.053715
6.034359,67.48555,6.270047
5.6955733,71.9208,6.862713
5.814975,87.70163,7.236781
6.368229,50.69864,6.609808
6.152547,60.533127,6.732793
5.9925966,58.47928,6.824128
6.012261,69.819275,6.751559
5.6484036,48.814102,6.8241515
5.6771193,71.15778,6.6485586
6.078745,58.849983,6.549137
6.483324,57.241394,6.537436
6.4093175,71.046036,6.652892
