cur_bw_cam,cur_bw_hr,cur_bw_dht,cur_delay_cam,cur_delay_hr,cur_delay_dht,action,reward,next_bw_cam,next_bw_hr,next_bw_dht,next_delay_cam,next_delay_hr,next_delay_dht,next_prio_cam,next_prio_hr,next_prio_dht,next_pkt_cam,next_pkt_hr,next_pkt_dht,done
0.036352,0.000512,0.290192,5.0,2.0,5.0,0,2.9648,0.036352,0.000512,0.290192,2.0150294544247442,2.829637446748344,2.881366861806381,2,1,0,4,0,35,False
0.036352,0.000512,0.290192,5.0,2.0,5.0,1,2.9864,0.036352,0.000512,0.290192,2.4658700371292808,0.6436267457544704,2.2225555924541904,1,2,0,4,0,35,False
0.036352,0.000512,0.290192,5.0,2.0,5.0,2,2.9692,0.036352,0.000512,0.290192,2.4136242890164685,2.509314658882965,0.90996881570351,0,1,2,4,0,35,False
0.036352,0.000512,0.290192,5.0,2.0,5.0,3,2.9768,0.036352,0.000512,0.290192,1.2484851629363605,1.859032510947524,2.1115575964005666,1,1,1,4,0,35,False
5.20304,5.98896,4.927584,5.0,2.0,5.0,0,2.9704,5.20304,5.98896,4.927584,1.9849576612149886,2.0821753181510596,4.856651972011719,2,1,0,635,731,601,False
5.20304,5.98896,4.927584,5.0,2.0,5.0,1,2.9779,5.20304,5.98896,4.927584,1.270417492323877,1.5006878940865107,4.5429992289091246,1,2,0,635,731,601,False
5.20304,5.98896,4.927584,5.0,2.0,5.0,2,2.9731,5.20304,5.98896,4.927584,2.4299019347886537,1.9892865321936486,2.1073062716051725,0,1,2,635,731,601,False
5.20304,5.98896,4.927584,5.0,2.0,5.0,3,2.9689,5.20304,5.98896,4.927584,1.791267558749172,2.6230902150839044,1.252807865325053,1,1,1,635,731,601,False
5.129088,5.753728,5.404032,5.0,2.0,5.0,0,2.9617,5.129088,5.753728,5.404032,1.8773597852350512,3.1348002104605692,3.2439438394529647,2,1,0,626,702,659,False
5.129088,5.753728,5.404032,5.0,2.0,5.0,1,2.9734,5.129088,5.753728,5.404032,1.260982261262848,2.04626784722159,3.6092748712121,1,2,0,626,702,659,False
5.129088,5.753728,5.404032,5.0,2.0,5.0,2,2.9653,5.129088,5.753728,5.404032,1.6256676367848972,2.9251204854952078,2.227250308779963,0,1,2,626,702,659,False
5.129088,5.753728,5.404032,5.0,2.0,5.0,3,2.9661,5.129088,5.753728,5.404032,1.7978652012268832,2.747312726904145,2.784554348886365,1,1,1,626,702,659,False
5.340416,5.735744,5.3312,5.0,2.0,5.0,0,2.9601,5.340416,5.735744,5.3312,2.4854856494390813,2.994377983341856,4.9930909515575115,2,1,0,651,700,650,False
5.340416,5.735744,5.3312,5.0,2.0,5.0,1,2.9799,5.340416,5.735744,5.3312,1.367979958316775,1.3123900062066607,4.2848591575819635,1,2,0,651,700,650,False
5.340416,5.735744,5.3312,5.0,2.0,5.0,2,2.9756,5.340416,5.735744,5.3312,1.6573111369121867,1.9866258920598712,1.2129172786579823,0,1,2,651,700,650,False
5.340416,5.735744,5.3312,5.0,2.0,5.0,3,2.9801,5.340416,5.735744,5.3312,2.278676323007711,1.2769568230390091,2.562241883612159,1,1,1,651,700,650,False
5.020024,5.193968,4.930472,5.0,2.0,5.0,0,2.9781,5.020024,5.193968,4.930472,1.165236049332267,1.633212970737811,3.221419367321926,2,1,0,612,634,601,False
5.020024,5.193968,4.930472,5.0,2.0,5.0,1,2.9826,5.020024,5.193968,4.930472,2.2150977883582943,0.9904039463015337,3.035756906312585,1,2,0,612,634,601,False
5.020024,5.193968,4.930472,5.0,2.0,5.0,2,2.9672,5.020024,5.193968,4.930472,2.5689209151282766,2.548163093647669,2.219878816429598,0,1,2,612,634,601,False
