[START] 2026-01-17T08:16:21Z bridge=br0 duration=600 interval=1
[INFO] Delay log path: /home/ovs/sdn-iot/pengujian/delay_log.csv
[INFO] Output dataset : /home/ovs/sdn-iot/pengujian/allport/dataset_dqn.csv
[PROGRESS] ts=2026-01-17T08:16:21Z rows=1 delay(dht11)=5.426 delay(camera)=6.127 delay(max)=5.450
[PROGRESS] ts=2026-01-17T08:16:22Z rows=2 delay(dht11)=5.492 delay(camera)=5.752 delay(max)=5.450
[PROGRESS] ts=2026-01-17T08:16:23Z rows=3 delay(dht11)=5.449 delay(camera)=5.752 delay(max)=5.423
[PROGRESS] ts=2026-01-17T08:16:24Z rows=4 delay(dht11)=5.428 delay(camera)=5.752 delay(max)=5.423
[PROGRESS] ts=2026-01-17T08:16:25Z rows=5 delay(dht11)=5.394 delay(camera)=5.752 delay(max)=5.419
[PROGRESS] ts=2026-01-17T08:16:27Z rows=6 delay(dht11)=5.604 delay(camera)=5.919 delay(max)=5.419
[PROGRESS] ts=2026-01-17T08:16:28Z rows=7 delay(dht11)=5.417 delay(camera)=5.919 delay(max)=5.419
[PROGRESS] ts=2026-01-17T08:16:29Z rows=8 delay(dht11)=5.415 delay(camera)=5.919 delay(max)=5.393
[PROGRESS] ts=2026-01-17T08:16:30Z rows=9 delay(dht11)=5.397 delay(camera)=5.919 delay(max)=5.393
[PROGRESS] ts=2026-01-17T08:16:31Z rows=10 delay(dht11)=5.399 delay(camera)=5.919 delay(max)=5.393
[PROGRESS] ts=2026-01-17T08:16:32Z rows=11 delay(dht11)=5.399 delay(camera)=6.514 delay(max)=5.512
[PROGRESS] ts=2026-01-17T08:16:33Z rows=12 delay(dht11)=9.135 delay(camera)=6.514 delay(max)=5.512
[PROGRESS] ts=2026-01-17T08:16:34Z rows=13 delay(dht11)=6.457 delay(camera)=6.514 delay(max)=5.381
[PROGRESS] ts=2026-01-17T08:16:36Z rows=14 delay(dht11)=5.498 delay(camera)=6.514 delay(max)=5.381
[PROGRESS] ts=2026-01-17T08:16:37Z rows=15 delay(dht11)=5.690 delay(camera)=5.699 delay(max)=5.381
[PROGRESS] ts=2026-01-17T08:16:38Z rows=16 delay(dht11)=5.385 delay(camera)=5.699 delay(max)=5.360
[PROGRESS] ts=2026-01-17T08:16:39Z rows=17 delay(dht11)=5.366 delay(camera)=5.699 delay(max)=5.360
[PROGRESS] ts=2026-01-17T08:16:40Z rows=18 delay(dht11)=5.350 delay(camera)=5.699 delay(max)=5.360
[PROGRESS] ts=2026-01-17T08:16:41Z rows=19 delay(dht11)=5.369 delay(camera)=5.718 delay(max)=5.507
[PROGRESS] ts=2026-01-17T08:16:42Z rows=20 delay(dht11)=5.558 delay(camera)=5.758 delay(max)=5.507
[PROGRESS] ts=2026-01-17T08:16:43Z rows=21 delay(dht11)=5.628 delay(camera)=5.758 delay(max)=5.399
[PROGRESS] ts=2026-01-17T08:16:45Z rows=22 delay(dht11)=5.363 delay(camera)=5.758 delay(max)=5.399
[PROGRESS] ts=2026-01-17T08:16:46Z rows=23 delay(dht11)=6.047 delay(camera)=5.758 delay(max)=5.399
[PROGRESS] ts=2026-01-17T08:16:47Z rows=24 delay(dht11)=5.470 delay(camera)=5.549 delay(max)=5.393
[PROGRESS] ts=2026-01-17T08:16:48Z rows=25 delay(dht11)=5.369 delay(camera)=5.549 delay(max)=5.393
[PROGRESS] ts=2026-01-17T08:16:49Z rows=26 delay(dht11)=6.382 delay(camera)=5.549 delay(max)=5.393
[PROGRESS] ts=2026-01-17T08:16:50Z rows=27 delay(dht11)=5.344 delay(camera)=5.549 delay(max)=7.886
[PROGRESS] ts=2026-01-17T08:16:51Z rows=28 delay(dht11)=5.330 delay(camera)=5.856 delay(max)=7.886
[PROGRESS] ts=2026-01-17T08:16:52Z rows=29 delay(dht11)=5.307 delay(camera)=5.856 delay(max)=5.316
[PROGRESS] ts=2026-01-17T08:16:54Z rows=30 delay(dht11)=5.316 delay(camera)=5.856 delay(max)=5.316
[PROGRESS] ts=2026-01-17T08:16:55Z rows=31 delay(dht11)=5.305 delay(camera)=5.824 delay(max)=5.316
[PROGRESS] ts=2026-01-17T08:16:56Z rows=32 delay(dht11)=5.374 delay(camera)=5.824 delay(max)=5.294
[PROGRESS] ts=2026-01-17T08:16:57Z rows=33 delay(dht11)=5.364 delay(camera)=5.824 delay(max)=5.294
[PROGRESS] ts=2026-01-17T08:16:58Z rows=34 delay(dht11)=5.291 delay(camera)=5.824 delay(max)=5.294
