[START] 2026-01-13T18:39:51Z bridge=br0 port=2
[OK] 2026-01-13T18:39:51Z rx=18857893664 tx=16642973356
[OK] 2026-01-13T18:39:52Z rx=18858370932 tx=16642973356
[OK] 2026-01-13T18:39:53Z rx=18858850614 tx=16642973356
[OK] 2026-01-13T18:39:54Z rx=18859329510 tx=16642973356
[OK] 2026-01-13T18:39:55Z rx=18859829350 tx=16642999576
[OK] 2026-01-13T18:39:56Z rx=18860306128 tx=16642999576
[OK] 2026-01-13T18:39:57Z rx=18860786922 tx=16642999576
[OK] 2026-01-13T18:39:58Z rx=18861288865 tx=16642999576
[OK] 2026-01-13T18:39:59Z rx=18861768216 tx=16642999576
[OK] 2026-01-13T18:40:00Z rx=18862248733 tx=16642999576
[OK] 2026-01-13T18:40:01Z rx=18862752690 tx=16642999576
[OK] 2026-01-13T18:40:02Z rx=18863234454 tx=16642999576
[OK] 2026-01-13T18:40:03Z rx=18863721207 tx=16642999576
[OK] 2026-01-13T18:40:04Z rx=18864203009 tx=16642999576
[OK] 2026-01-13T18:40:05Z rx=18864705123 tx=16642999576
[OK] 2026-01-13T18:40:06Z rx=18865186544 tx=16642999576
[OK] 2026-01-13T18:40:07Z rx=18865666084 tx=16642999576
[OK] 2026-01-13T18:40:08Z rx=18866166960 tx=16642999576
[OK] 2026-01-13T18:40:09Z rx=18866653772 tx=16642999576
[OK] 2026-01-13T18:40:10Z rx=18867134816 tx=16642999576
[OK] 2026-01-13T18:40:11Z rx=18867617860 tx=16642999576
[OK] 2026-01-13T18:40:12Z rx=18868218328 tx=16642999576
[OK] 2026-01-13T18:40:14Z rx=18868740883 tx=16642999576
[OK] 2026-01-13T18:40:15Z rx=18869221718 tx=16642999576
[OK] 2026-01-13T18:40:16Z rx=18869728403 tx=16643017456
[OK] 2026-01-13T18:40:17Z rx=18870209767 tx=16643017456
[OK] 2026-01-13T18:40:18Z rx=18870689672 tx=16643017456
[OK] 2026-01-13T18:40:19Z rx=18871369197 tx=16643017456
[OK] 2026-01-13T18:40:20Z rx=18871927819 tx=16643017456
[OK] 2026-01-13T18:40:21Z rx=18872409302 tx=16643034676
[OK] 2026-01-13T18:40:22Z rx=18872897598 tx=16643034676
[OK] 2026-01-13T18:40:23Z rx=18873402025 tx=16643055676
[OK] 2026-01-13T18:40:24Z rx=18873883113 tx=16643055676
[OK] 2026-01-13T18:40:25Z rx=18874367524 tx=16643084116
[OK] 2026-01-13T18:40:26Z rx=18874867433 tx=16643084116
[OK] 2026-01-13T18:40:27Z rx=18875351960 tx=16643084116
[OK] 2026-01-13T18:40:28Z rx=18875836276 tx=16643114356
[OK] 2026-01-13T18:40:29Z rx=18876337271 tx=16643131996
[OK] 2026-01-13T18:40:30Z rx=18876851871 tx=16643206996
[OK] 2026-01-13T18:40:31Z rx=18877350978 tx=16643407636
[OK] 2026-01-13T18:40:32Z rx=18877832436 tx=16643601436
[OK] 2026-01-13T18:40:33Z rx=18878339372 tx=16643814616
[OK] 2026-01-13T18:40:34Z rx=18878821255 tx=16644030976
[OK] 2026-01-13T18:40:35Z rx=18879302167 tx=16644224776
[OK] 2026-01-13T18:40:36Z rx=18879807366 tx=16644430756
[OK] 2026-01-13T18:40:37Z rx=18880290491 tx=16644454036
[OK] 2026-01-13T18:40:38Z rx=18880771340 tx=16644454036
[OK] 2026-01-13T18:40:39Z rx=18881273006 tx=16644473596
[OK] 2026-01-13T18:40:40Z rx=18881754852 tx=16644473596
[OK] 2026-01-13T18:40:41Z rx=18882238283 tx=16644473596
[OK] 2026-01-13T18:40:42Z rx=18882756347 tx=16644505756
[OK] 2026-01-13T18:40:43Z rx=18883239566 tx=16644505756
[OK] 2026-01-13T18:40:44Z rx=18883721331 tx=16644505756
[OK] 2026-01-13T18:40:45Z rx=18884199483 tx=16644505756
[OK] 2026-01-13T18:40:46Z rx=18884702487 tx=16644505756
[OK] 2026-01-13T18:40:47Z rx=18885183375 tx=16644505756
[OK] 2026-01-13T18:40:48Z rx=18885664505 tx=16644505756
[OK] 2026-01-13T18:40:49Z rx=18886167773 tx=16644505756
[OK] 2026-01-13T18:40:50Z rx=18886649186 tx=16644505756
[INFO] Logging done. Plotting...
=== SUMMARY ===
RX avg Mbps: 3.966278896551724
TX avg Mbps: 0.2113655172413793
RX peak Mbps: 5.4362
TX peak Mbps: 1.73088
[DONE] Graph saved: ovs_port_2_throughput.png
